지역,권,항목,경보단계,발령시일,발령시,인구가중치,PM10,PM2.5,경보,주의보
인천,동남부권,PM10,주의보,2019-10-31,21,0.041310056,1,0,0,1
서울,서울권,PM10,주의보,2019-10-31,20,0.18929765,1,0,0,1
인천,강화권,PM10,주의보,2019-10-31,19,0.001345985,1,0,0,1
경기,북부권,PM10,주의보,2019-10-31,19,0.056789935,1,0,0,1
인천,서부권,PM10,주의보,2019-10-31,19,0.018674594,1,0,0,1
인천,영종권,PM10,주의보,2019-10-31,19,0.00131465,1,0,0,1
경기,동부권,PM10,주의보,2019-10-31,18,0.0032048520000000002,1,0,0,1
경기,중부권,PM10,주의보,2019-10-31,18,0.020966376000000002,1,0,0,1
부산,남부권,PM10,주의보,2019-10-29,19,0.023576725,1,0,0,1
부산,동부권,PM10,주의보,2019-10-29,15,0.0032048520000000002,1,0,0,1
경남,밀양권,PM10,주의보,2019-10-29,15,0.002053708,1,0,0,1
부산,서부권,PM10,주의보,2019-10-29,15,0.018674594,1,0,0,1
울산,울산권,PM10,주의보,2019-10-29,15,0.022336818999999997,1,0,0,1
부산,중부권,PM10,주의보,2019-10-29,15,0.020966376000000002,1,0,0,1
경남,진주권,PM10,주의보,2019-10-29,15,0.0067580209999999995,1,0,0,1
경남,거제권,PM10,주의보,2019-10-29,14,0.004830666,1,0,0,1
전북,남원권,PM10,주의보,2019-10-29,14,0.001584584,1,0,0,1
대구,대구권,PM10,주의보,2019-10-29,14,0.047436372000000004,1,0,0,1
경북,동부권,PM10,주의보,2019-10-29,14,0.0032048520000000002,1,0,0,1
경남,사천권,PM10,주의보,2019-10-29,14,0.002177706,1,0,0,1
전북,순창권,PM10,주의보,2019-10-29,14,0.000552224,1,0,0,1
경남,양산권,PM10,주의보,2019-10-29,14,0.006824661,1,0,0,1
경북,울릉권,PM10,주의보,2019-10-29,14,0.00018711599999999998,1,0,0,1
경남,고성권,PM10,주의보,2019-10-29,13,0.0010171260000000001,1,0,0,1
광주,광주권,PM10,주의보,2019-10-29,13,0.028338261,1,0,0,1
경남,김해권,PM10,주의보,2019-10-29,13,0.010554458999999999,1,0,0,1
전남,동부권,PM10,주의보,2019-10-29,13,0.0032048520000000002,1,0,0,1
경기,북부권,PM10,주의보,2019-10-29,13,0.056789935,1,0,0,1
충북,북부권,PM10,주의보,2019-10-29,13,0.056789935,1,0,0,1
경남,산청권,PM10,주의보,2019-10-29,13,0.000689103,1,0,0,1
경북,서부권,PM10,주의보,2019-10-29,13,0.018674594,1,0,0,1
경남,의령권,PM10,주의보,2019-10-29,13,0.000528603,1,0,0,1
전북,임실권,PM10,주의보,2019-10-29,13,0.000562342,1,0,0,1
제주,제주권,PM10,주의보,2019-10-29,13,0.013055323999999998,1,0,0,1
경남,창녕권,PM10,주의보,2019-10-29,13,0.0012127639999999999,1,0,0,1
경남,창원권,PM10,주의보,2019-10-29,13,0.020327336,1,0,0,1
경남,통영권,PM10,주의보,2019-10-29,13,0.002556706,1,0,0,1
경남,하동권,PM10,주의보,2019-10-29,13,0.0009061830000000001,1,0,0,1
경남,함안권,PM10,주의보,2019-10-29,13,0.001278314,1,0,0,1
경남,합천권,PM10,주의보,2019-10-29,13,0.000879527,1,0,0,1
경남,거창권,PM10,주의보,2019-10-29,12,0.001209807,1,0,0,1
충북,남부권,PM10,주의보,2019-10-29,12,0.023576725,1,0,0,1
경남,남해권,PM10,주의보,2019-10-29,12,0.000848746,1,0,0,1
대전,동부권,PM10,주의보,2019-10-29,12,0.0032048520000000002,1,0,0,1
전북,무주권,PM10,주의보,2019-10-29,12,0.00047286,1,0,0,1
전남,서부권,PM10,주의보,2019-10-29,12,0.018674594,1,0,0,1
전북,진안권,PM10,주의보,2019-10-29,12,0.0004999819999999999,1,0,0,1
전북,장수권,PM10,주의보,2019-10-29,11,0.000436631,1,0,0,1
경남,함양권,PM10,주의보,2019-10-29,10,0.000771211,1,0,0,1
강원,영동남부,PM10,주의보,2019-10-29,9,0.0072222219999999995,1,0,0,1
전북,군산권,PM10,주의보,2019-10-29,6,0.005255895,1,0,0,1
충남,서부권,PM10,주의보,2019-10-29,5,0.018674594,1,0,0,1
서울,서울권,PM10,주의보,2019-10-29,5,0.18929765,1,0,0,1
인천,동남부권,PM10,주의보,2019-10-29,3,0.041310056,1,0,0,1
인천,강화권,PM10,주의보,2019-10-29,2,0.001345985,1,0,0,1
인천,서부권,PM10,주의보,2019-10-29,2,0.018674594,1,0,0,1
인천,영종권,PM10,주의보,2019-10-29,2,0.00131465,1,0,0,1
전북,김제권,PM2.5,주의보,2019-10-17,23,0.001632331,0,1,0,1
전북,전주권,PM2.5,주의보,2019-10-05,1,0.012732437,0,1,0,1
인천,영종권,PM2.5,주의보,2019-07-15,11,0.00131465,0,1,0,1
전북,정읍권,PM2.5,주의보,2019-06-14,15,0.002150778,0,1,0,1
전북,진안권,PM2.5,주의보,2019-06-13,23,0.0004999819999999999,0,1,0,1
전북,김제권,PM2.5,주의보,2019-06-06,18,0.001632331,0,1,0,1
광주,광주권,PM2.5,주의보,2019-06-05,24,0.028338261,0,1,0,1
충북,북부권,PM2.5,주의보,2019-05-25,10,0.056789935,0,1,0,1
인천,강화권,PM2.5,주의보,2019-05-25,8,0.001345985,0,1,0,1
인천,영종권,PM2.5,주의보,2019-05-25,8,0.00131465,0,1,0,1
인천,동남부권,PM2.5,주의보,2019-05-25,6,0.041310056,0,1,0,1
경기,동부권,PM2.5,주의보,2019-05-25,6,0.0032048520000000002,0,1,0,1
충북,중부권,PM2.5,주의보,2019-05-25,3,0.020966376000000002,0,1,0,1
경기,북부권,PM2.5,주의보,2019-05-25,2,0.056789935,0,1,0,1
인천,서부권,PM2.5,주의보,2019-05-25,2,0.018674594,0,1,0,1
경기,남부권,PM2.5,주의보,2019-05-25,1,0.023576725,0,1,0,1
서울,서울권,PM2.5,주의보,2019-05-25,1,0.18929765,0,1,0,1
세종,세종권,PM2.5,주의보,2019-05-25,1,0.006626511999999999,0,1,0,1
전북,완주권,PM2.5,주의보,2019-05-25,1,0.00179431,0,1,0,1
경기,중부권,PM2.5,주의보,2019-05-25,1,0.020966376000000002,0,1,0,1
전북,김제권,PM2.5,주의보,2019-05-24,24,0.001632331,0,1,0,1
전북,순창권,PM2.5,주의보,2019-05-24,24,0.000552224,0,1,0,1
충남,동남부권,PM2.5,주의보,2019-05-24,23,0.041310056,0,1,0,1
전북,부안권,PM2.5,주의보,2019-05-24,23,0.001036952,0,1,0,1
충남,북부권,PM2.5,주의보,2019-05-24,23,0.056789935,0,1,0,1
충남,서부권,PM2.5,주의보,2019-05-24,22,0.018674594,0,1,0,1
전북,전주권,PM2.5,주의보,2019-05-24,22,0.012732437,0,1,0,1
전북,익산권,PM2.5,주의보,2019-05-24,20,0.005599113,0,1,0,1
전북,군산권,PM2.5,주의보,2019-05-24,18,0.005255895,0,1,0,1
전북,군산권,PM10,주의보,2019-05-24,16,0.005255895,1,0,0,1
경남,거제권,PM2.5,주의보,2019-05-24,9,0.004830666,0,1,0,1
충남,북부권,PM2.5,주의보,2019-05-17,22,0.056789935,0,1,0,1
충남,북부권,PM2.5,주의보,2019-05-16,10,0.056789935,0,1,0,1
전북,익산권,PM2.5,주의보,2019-05-16,7,0.005599113,0,1,0,1
세종,세종권,PM2.5,주의보,2019-05-16,2,0.006626511999999999,0,1,0,1
전북,부안권,PM10,주의보,2019-05-06,16,0.001036952,1,0,0,1
충북,북부권,PM2.5,주의보,2019-05-05,11,0.056789935,0,1,0,1
인천,강화권,PM2.5,주의보,2019-05-04,11,0.001345985,0,1,0,1
경기,북부권,PM2.5,주의보,2019-05-04,10,0.056789935,0,1,0,1
충남,북부권,PM2.5,주의보,2019-05-04,9,0.056789935,0,1,0,1
전북,군산권,PM2.5,주의보,2019-05-04,8,0.005255895,0,1,0,1
인천,동남부권,PM2.5,주의보,2019-05-04,7,0.041310056,0,1,0,1
인천,서부권,PM2.5,주의보,2019-05-04,7,0.018674594,0,1,0,1
경기,남부권,PM2.5,주의보,2019-05-04,6,0.023576725,0,1,0,1
경기,중부권,PM2.5,주의보,2019-05-04,5,0.020966376000000002,0,1,0,1
전북,김제권,PM2.5,주의보,2019-05-04,2,0.001632331,0,1,0,1
전북,부안권,PM2.5,주의보,2019-05-04,2,0.001036952,0,1,0,1
전북,익산권,PM2.5,주의보,2019-05-04,2,0.005599113,0,1,0,1
전북,완주권,PM10,주의보,2019-05-02,12,0.00179431,1,0,0,1
광주,광주권,PM10,주의보,2019-05-02,11,0.028338261,1,0,0,1
전북,군산권,PM10,주의보,2019-05-02,11,0.005255895,1,0,0,1
전북,김제권,PM10,주의보,2019-05-02,11,0.001632331,1,0,0,1
전북,익산권,PM10,주의보,2019-05-02,11,0.005599113,1,0,0,1
전북,전주권,PM10,주의보,2019-05-02,11,0.012732437,1,0,0,1
전북,정읍권,PM10,주의보,2019-05-02,11,0.002150778,1,0,0,1
전북,고창권,PM10,주의보,2019-05-02,10,0.001079932,1,0,0,1
전북,부안권,PM10,주의보,2019-05-02,10,0.001036952,1,0,0,1
전남,서부권,PM10,주의보,2019-05-02,4,0.018674594,1,0,0,1
제주,제주권,PM10,주의보,2019-05-02,2,0.013055323999999998,1,0,0,1
제주,제주권,PM2.5,주의보,2019-05-01,20,0.013055323999999998,0,1,0,1
경남,남해권,PM10,주의보,2019-05-01,18,0.000848746,1,0,0,1
경남,밀양권,PM10,주의보,2019-05-01,16,0.002053708,1,0,0,1
경남,거창권,PM10,주의보,2019-05-01,15,0.001209807,1,0,0,1
강원,영동북부,PM10,주의보,2019-04-25,11,0.000530393,1,0,0,1
충남,북부권,PM2.5,주의보,2019-04-23,2,0.056789935,0,1,0,1
인천,강화권,PM10,주의보,2019-04-22,24,0.001345985,1,0,0,1
경기,동부권,PM10,주의보,2019-04-22,20,0.0032048520000000002,1,0,0,1
서울,서울권,PM10,주의보,2019-04-22,20,0.18929765,1,0,0,1
충남,북부권,PM10,주의보,2019-04-22,19,0.056789935,1,0,0,1
경기,남부권,PM10,주의보,2019-04-22,15,0.023576725,1,0,0,1
경기,중부권,PM10,주의보,2019-04-22,15,0.020966376000000002,1,0,0,1
전북,부안권,PM2.5,주의보,2019-04-07,12,0.001036952,0,1,0,1
전북,임실권,PM2.5,주의보,2019-04-07,9,0.000562342,0,1,0,1
전북,전주권,PM2.5,주의보,2019-04-07,7,0.012732437,0,1,0,1
전북,순창권,PM2.5,주의보,2019-04-07,4,0.000552224,0,1,0,1
전북,장수권,PM2.5,주의보,2019-04-07,2,0.000436631,0,1,0,1
전북,순창권,PM10,주의보,2019-04-05,22,0.000552224,1,0,0,1
제주,제주권,PM2.5,주의보,2019-04-05,22,0.013055323999999998,0,1,0,1
충북,남부권,PM10,주의보,2019-04-05,21,0.023576725,1,0,0,1
대전,동부권,PM10,주의보,2019-04-05,21,0.0032048520000000002,1,0,0,1
전남,서부권,PM10,주의보,2019-04-05,21,0.018674594,1,0,0,1
전북,진안권,PM10,주의보,2019-04-05,21,0.0004999819999999999,1,0,0,1
광주,광주권,PM10,주의보,2019-04-05,20,0.028338261,1,0,0,1
대전,서부권,PM10,주의보,2019-04-05,20,0.018674594,1,0,0,1
강원,영서남부,PM10,주의보,2019-04-05,20,0.008520071,1,0,0,1
전북,임실권,PM10,주의보,2019-04-05,20,0.000562342,1,0,0,1
전북,고창권,PM10,주의보,2019-04-05,19,0.001079932,1,0,0,1
